fill	x	y	xmin	xmax	ymin	ymax
#EEDAD7	980	24	955	1005	-1	49
#ECE9F5	1030	24	1005	1055	-1	49
#EEECF6	1030	74	1005	1055	49	99
#F1EFF7	1080	74	1055	1105	49	99
#3A3A98	1080	124	1055	1105	99	149
#F7ECEB	1130	124	1105	1155	99	149
#F9F8FC	1130	174	1105	1155	149	199
#FAF3F2	1180	174	1155	1205	149	199
#D6A9A3	1180	224	1155	1205	199	249
#EDEBF5	1230	224	1205	1255	199	249
#AD645D	1230	274	1205	1255	249	299
#D2CCE7	1280	274	1255	1305	249	299
#E1DDEF	1280	324	1255	1305	299	349
#E3DFF0	1330	324	1305	1355	299	349
#CFC9E5	1080	24	1055	1105	-1	49
#F6EAE9	1180	124	1155	1205	99	149
#C0B9DD	1280	224	1255	1305	199	249
#ECEAF5	1130	74	1105	1155	49	99
#FDFBFB	1230	174	1205	1255	149	199
#E3DFF0	1330	274	1305	1355	249	299
#EFEDF6	1130	24	1105	1155	-1	49
#FAF3F2	1180	74	1155	1205	49	99
#F8F0EE	1230	124	1205	1255	99	149
#EBD4D1	1280	174	1255	1305	149	199
#F6EBE9	1330	224	1305	1355	199	249
#F8EFEE	1380	274	1355	1405	249	299
#D6D0E9	1180	24	1155	1205	-1	49
#FAF9FC	1280	124	1255	1305	99	149
#E9E6F3	1380	224	1355	1405	199	249
#F8F6FB	1230	74	1205	1255	49	99
#EEECF6	1330	174	1305	1355	149	199
#E5E1F1	1230	24	1205	1255	-1	49
#EAE7F4	1280	74	1255	1305	49	99
#FBF6F5	1330	124	1305	1355	99	149
#F8EEED	1380	174	1355	1405	149	199
#EAD0CC	1430	224	1405	1455	199	249
#DCD8EC	1280	24	1255	1305	-1	49
#FEFDFD	1380	124	1355	1405	99	149
#F9F0EF	1330	74	1305	1355	49	99
#EFEDF7	1430	174	1405	1455	149	199
#EAE7F4	1330	24	1305	1355	-1	49
#F6EAE9	1380	74	1355	1405	49	99
#E8CDCA	1430	124	1405	1455	99	149
#F9F1F0	1480	174	1455	1505	149	199
#D6D0E9	1380	24	1355	1405	-1	49
#F5E8E6	1480	124	1455	1505	99	149
#FDFDFE	1430	74	1405	1455	49	99
#F4F3F9	1430	24	1405	1455	-1	49
#F2E1DE	1480	74	1455	1505	49	99
#E3C3BF	1530	124	1505	1555	99	149
#D5CFE8	1480	24	1455	1505	-1	49
#F7EDEC	1530	74	1505	1555	49	99
#D6D0E9	1530	24	1505	1555	-1	49
#C3BCDF	1580	74	1555	1605	49	99
#DED9ED	1580	24	1555	1605	-1	49
#7F74B9	1630	24	1605	1655	-1	49
