x	y	clickSelects	xmin	xmax	ymin	ymax
980	24	1000,0	955	1005	-1	49
1030	24	1050,0	1005	1055	-1	49
1030	74	1050,50	1005	1055	49	99
1080	74	1100,50	1055	1105	49	99
1080	124	1100,100	1055	1105	99	149
1130	124	1150,100	1105	1155	99	149
1130	174	1150,150	1105	1155	149	199
1180	174	1200,150	1155	1205	149	199
1180	224	1200,200	1155	1205	199	249
1230	224	1250,200	1205	1255	199	249
1230	274	1250,250	1205	1255	249	299
1280	274	1300,250	1255	1305	249	299
1280	324	1300,300	1255	1305	299	349
1330	324	1350,300	1305	1355	299	349
1080	24	1100,0	1055	1105	-1	49
1180	124	1200,100	1155	1205	99	149
1280	224	1300,200	1255	1305	199	249
1130	74	1150,50	1105	1155	49	99
1230	174	1250,150	1205	1255	149	199
1330	274	1350,250	1305	1355	249	299
1130	24	1150,0	1105	1155	-1	49
1180	74	1200,50	1155	1205	49	99
1230	124	1250,100	1205	1255	99	149
1280	174	1300,150	1255	1305	149	199
1330	224	1350,200	1305	1355	199	249
1380	274	1400,250	1355	1405	249	299
1180	24	1200,0	1155	1205	-1	49
1280	124	1300,100	1255	1305	99	149
1380	224	1400,200	1355	1405	199	249
1230	74	1250,50	1205	1255	49	99
1330	174	1350,150	1305	1355	149	199
1230	24	1250,0	1205	1255	-1	49
1280	74	1300,50	1255	1305	49	99
1330	124	1350,100	1305	1355	99	149
1380	174	1400,150	1355	1405	149	199
1430	224	1450,200	1405	1455	199	249
1280	24	1300,0	1255	1305	-1	49
1380	124	1400,100	1355	1405	99	149
1330	74	1350,50	1305	1355	49	99
1430	174	1450,150	1405	1455	149	199
1330	24	1350,0	1305	1355	-1	49
1380	74	1400,50	1355	1405	49	99
1430	124	1450,100	1405	1455	99	149
1480	174	1500,150	1455	1505	149	199
1380	24	1400,0	1355	1405	-1	49
1480	124	1500,100	1455	1505	99	149
1430	74	1450,50	1405	1455	49	99
1430	24	1450,0	1405	1455	-1	49
1480	74	1500,50	1455	1505	49	99
1530	124	1550,100	1505	1555	99	149
1480	24	1500,0	1455	1505	-1	49
1530	74	1550,50	1505	1555	49	99
1530	24	1550,0	1505	1555	-1	49
1580	74	1600,50	1555	1605	49	99
1580	24	1600,0	1555	1605	-1	49
1630	24	1650,0	1605	1655	-1	49
