fill	x	y	xmin	xmax	ymin	ymax
#000000	0	0	-0.125	0.125	-2.5	2.5
#0C0C0C	0.25	0	0.125	0.375	-2.5	2.5
#0A0A0A	-0.25	0	-0.375	-0.125	-2.5	2.5
#171717	-0.5	0	-0.625	-0.375	-2.5	2.5
#161616	0.5	0	0.375	0.625	-2.5	2.5
#232323	0.75	0	0.625	0.875	-2.5	2.5
#212121	-0.75	0	-0.875	-0.625	-2.5	2.5
#343434	-1	0	-1.125	-0.875	-2.5	2.5
#464646	-1.5	0	-1.625	-1.375	-2.5	2.5
#3C3C3C	-1.25	0	-1.375	-1.125	-2.5	2.5
#515151	1.75	0	1.625	1.875	-2.5	2.5
#2D2D2D	1	0	0.875	1.125	-2.5	2.5
#6B6B6B	3.25	0	3.125	3.375	-2.5	2.5
#A9A9A9	-2	5	-2.125	-1.875	2.5	7.5
#4D4D4D	-1.75	0	-1.875	-1.625	-2.5	2.5
#9E9E9E	-1.5	5	-1.625	-1.375	2.5	7.5
#3E3E3E	1.25	0	1.125	1.375	-2.5	2.5
#6F6F6F	2.25	0	2.125	2.375	-2.5	2.5
#4D4D4D	2	0	1.875	2.125	-2.5	2.5
#414141	1.5	0	1.375	1.625	-2.5	2.5
#656565	-2	0	-2.125	-1.875	-2.5	2.5
#6A6A6A	-3	0	-3.125	-2.875	-2.5	2.5
#5E5E5E	2.75	0	2.625	2.875	-2.5	2.5
#878787	-3.75	0	-3.875	-3.625	-2.5	2.5
#858585	4	0	3.875	4.125	-2.5	2.5
#5C5C5C	-2.5	0	-2.625	-2.375	-2.5	2.5
#7F7F7F	2.5	0	2.375	2.625	-2.5	2.5
#C2C2C2	4.75	5	4.625	4.875	2.5	7.5
#797979	3.5	0	3.375	3.625	-2.5	2.5
#686868	-2.25	0	-2.375	-2.125	-2.5	2.5
#8A8A8A	4.25	0	4.125	4.375	-2.5	2.5
#9E9E9E	-4.25	0	-4.375	-4.125	-2.5	2.5
#929292	-4	0	-4.125	-3.875	-2.5	2.5
#939393	-2.75	0	-2.875	-2.625	-2.5	2.5
#ADADAD	2	5	1.875	2.125	2.5	7.5
#8B8B8B	1.25	5	1.125	1.375	2.5	7.5
#FFFFFF	-5.25	5	-5.375	-5.125	2.5	7.5
#BABABA	-2.25	5	-2.375	-2.125	2.5	7.5
#939393	1.5	5	1.375	1.625	2.5	7.5
#707070	-0.5	5	-0.625	-0.375	2.5	7.5
#6F6F6F	0.5	5	0.375	0.625	2.5	7.5
#CFCFCF	-3.25	5	-3.375	-3.125	2.5	7.5
#787878	-3.5	0	-3.625	-3.375	-2.5	2.5
#9F9F9F	0.25	5	0.125	0.375	2.5	7.5
#A8A8A8	-0.75	10	-0.875	-0.625	7.5	12.5
#797979	-0.75	5	-0.875	-0.625	2.5	7.5
#808080	1	5	0.875	1.125	2.5	7.5
#B8B8B8	-2.5	5	-2.625	-2.375	2.5	7.5
#CFCFCF	-2.75	5	-2.875	-2.625	2.5	7.5
#DADADA	-5	5	-5.125	-4.875	2.5	7.5
#AFAFAF	-4.5	0	-4.625	-4.375	-2.5	2.5
#D4D4D4	4.5	0	4.375	4.625	-2.5	2.5
#AFAFAF	3	0	2.875	3.125	-2.5	2.5
#989898	-0.25	5	-0.375	-0.125	2.5	7.5
#989898	-1.25	5	-1.375	-1.125	2.5	7.5
#ACACAC	-1.75	5	-1.875	-1.625	2.5	7.5
#CBCBCB	-0.5	10	-0.625	-0.375	7.5	12.5
#A9A9A9	1	10	0.875	1.125	7.5	12.5
#8A8A8A	-1	5	-1.125	-0.875	2.5	7.5
#CFCFCF	-4.75	5	-4.875	-4.625	2.5	7.5
