group	label	showSelected1
1	Cluster 1: 94/3225 pixels shown, logFC -2.6 to 2.7, log10(p) 0.0 to 3.1	1
1	Cluster 9: 1881/6051 pixels shown, logFC -2.6 to 2.7, log10(p) 0.0 to 3.3	9
1	Cluster 13: 247/1597 pixels shown, logFC -3.1 to 2.2, log10(p) 0.0 to 3.8	13
1	Cluster 36: 884/6939 pixels shown, logFC -2.8 to 2.4, log10(p) 0.0 to 3.8	36
1	Cluster 85: 51/51 pixels shown, logFC -3.1 to 1.7, log10(p) 0.0 to 1.5	85
1	Cluster 140: 4/60 pixels shown, logFC -1.6 to 2.1, log10(p) 0.0 to 1.0	140
1	Cluster 190: 157/683 pixels shown, logFC -2.0 to 2.1, log10(p) 0.0 to 3.3	190
1	Cluster 223: 25/25 pixels shown, logFC 0.1 to 2.0, log10(p) 0.0 to 1.4	223
1	Cluster 292: 24/24 pixels shown, logFC -2.4 to 0.1, log10(p) 0.0 to 2.1	292
1	Cluster 345: 458/1310 pixels shown, logFC -2.6 to 2.1, log10(p) 0.0 to 3.4	345
1	Cluster 372: 83/120 pixels shown, logFC -1.0 to 2.5, log10(p) 0.0 to 2.0	372
1	Cluster 415: 16/16 pixels shown, logFC -2.6 to -0.4, log10(p) 0.1 to 1.4	415
1	Cluster 431: 13/13 pixels shown, logFC 0.5 to 3.9, log10(p) 0.2 to 3.5	431
1	Cluster 523: 2/7 pixels shown, logFC -3.8 to -0.6, log10(p) 0.2 to 1.6	523
1	Cluster 537: 15/15 pixels shown, logFC -2.6 to -0.2, log10(p) 0.2 to 2.6	537
1	Cluster 572: 4/4 pixels shown, logFC -3.8 to -1.2, log10(p) 0.4 to 1.5	572
1	Cluster 600: 121/161 pixels shown, logFC -0.7 to 1.9, log10(p) 0.0 to 2.4	600
1	Cluster 610: 507/789 pixels shown, logFC -1.2 to 1.6, log10(p) 0.0 to 2.4	610
1	Cluster 654: 9/9 pixels shown, logFC 0.0 to 2.3, log10(p) 0.0 to 2.5	654
1	Cluster 688: 47/92 pixels shown, logFC -1.4 to 1.4, log10(p) 0.0 to 2.3	688
1	Cluster 983: 28/28 pixels shown, logFC -0.3 to 1.9, log10(p) 0.1 to 2.3	983
1	Cluster 1043: 3/3 pixels shown, logFC -3.0 to -1.6, log10(p) 0.6 to 2.1	1043
1	Cluster 1100: 14/42 pixels shown, logFC -0.4 to 1.1, log10(p) 0.0 to 1.9	1100
1	Cluster 1161: 5/5 pixels shown, logFC -2.5 to -0.6, log10(p) 0.2 to 1.5	1161
1	Cluster 1171: 69/69 pixels shown, logFC -1.5 to 0.5, log10(p) 0.0 to 2.0	1171
1	Cluster 1198: 32/32 pixels shown, logFC -1.6 to 2.1, log10(p) 0.0 to 1.7	1198
1	Cluster 1262: 2/2 pixels shown, logFC 2.3 to 3.9, log10(p) 1.1 to 1.7	1262
1	Cluster 1277: 45/45 pixels shown, logFC -1.9 to 0.4, log10(p) 0.0 to 2.0	1277
1	Cluster 1311: 7/15 pixels shown, logFC 0.2 to 2.1, log10(p) 0.2 to 2.0	1311
1	Cluster 1319: 19/47 pixels shown, logFC -1.4 to 0.3, log10(p) 0.0 to 1.8	1319
1	Cluster 1377: 14/14 pixels shown, logFC -1.9 to 0.1, log10(p) 0.0 to 0.8	1377
1	Cluster 1379: 15/17 pixels shown, logFC -0.2 to 3.9, log10(p) 0.1 to 1.7	1379
1	Cluster 1420: 2/2 pixels shown, logFC 2.0 to 2.0, log10(p) 0.5 to 0.5	1420
1	Cluster 1504: 1/1 pixels shown, logFC -4.4 to -4.4, log10(p) 2.2 to 2.2	1504
1	Cluster 1542: 3/3 pixels shown, logFC -1.8 to -1.8, log10(p) 0.4 to 0.4	1542
1	Cluster 1577: 7/7 pixels shown, logFC -2.6 to -0.5, log10(p) 0.3 to 0.8	1577
1	Cluster 1578: 1/1 pixels shown, logFC 4.1 to 4.1, log10(p) 2.0 to 2.0	1578
1	Cluster 1713: 1/1 pixels shown, logFC 2.0 to 2.0, log10(p) 0.5 to 0.5	1713
1	Cluster 1951: 1/1 pixels shown, logFC -4.0 to -4.0, log10(p) 1.8 to 1.8	1951
1	Cluster 1966: 1/1 pixels shown, logFC 3.9 to 3.9, log10(p) 1.7 to 1.7	1966
1	Cluster 1968: 1/1 pixels shown, logFC 3.9 to 3.9, log10(p) 1.7 to 1.7	1968
1	Cluster 2095: 11/12 pixels shown, logFC 0.6 to 2.8, log10(p) 0.2 to 3.1	2095
1	Cluster 2170: 3/3 pixels shown, logFC 1.5 to 2.0, log10(p) 0.5 to 0.8	2170
1	Cluster 2318: 4/4 pixels shown, logFC -2.6 to -1.7, log10(p) 0.4 to 1.2	2318
1	Cluster 2399: 42/45 pixels shown, logFC -0.1 to 2.1, log10(p) 0.1 to 2.2	2399
1	Cluster 2401: 5/5 pixels shown, logFC 1.0 to 2.1, log10(p) 0.4 to 0.9	2401
1	Cluster 2422: 1/1 pixels shown, logFC -3.8 to -3.8, log10(p) 1.5 to 1.5	2422
